stars,comment
5.0 out of 5 stars,"There's a reason why people vouch for Mac books and I doubt it out now.... Excellent build quality, not only if the laptop but also of the accessories, the battery life is good, and sound is awesome. The look and feel of the product is just excellent. A 5 star in every aspect.
            "
4.0 out of 5 stars,"Amazing product,best for high computational work and programming.
            "
4.0 out of 5 stars,"Apple,apple,apple, thats the first thing that must have flashed in you mind when you saw this product, so here i have a total breif review on the laptop...***Pros***4k Video Editing with Final Cut Pro X on this thing works like butter, there is heating issue that i am going to go to apple service center to get it checkedEveryday works like checking mail and is just gr8The Battery is just OVERPOWERED, works for around 11-12 hours on continuous work and 8-9 hours when editingThe graphics card scores 30 fps in cinebench which is not that badThe performance is also fine, 280 cb processor score on cinebenchSpeakers are really good with perfect bassDisplay brightness is 300 nits, which is fineThe Wi-Fi is extremely good, can get a network even from the living room while the router is in the bedroomVery thin and lightweightMacOS is good for School work if you know all the office applications for mac, for eg.Pages is WordMagSafe 2 is the best partGood Trackpad and Keyboard with backlightThe Storage is fast!, thanks to the M.2 based SSD!***Cons***Display, though the resolution is fairly good for a 13.3 inch display, the viewing angle is not appropriate for a 84k laptopGets heated up (Going to get it checked by apple support). Cooling not appropriate for this cpu, need a better thermal paste and fanRam management on MacOS Mojave is not good, 8 GBs of memory is not well distributed among all tasks running in backgroundMacOS is not made for gaming, you need to boot camp on this mac with Windows if you are really a hard-core gamerIntel HD integrated graphics at the price???, god damn it apple (Though its not bad, have seen GeForce 940MX at the same price)No Force trackpadBezels are way too thick in today's standardsNo thunderbolt 3 or Usb CCan't detect Android Devices until Android Device Explorer is installedThe Storage is less! (128 GB, will upgrade to 256 GB in a few years)***My Verdict***This devices is for them who want Battery and Power, and people who want to do Video Editing on Final Cut Pro X, if anyone has a heat up issue than you should Call apple Support and visit one service center immediately to get your laptop checked! Though the graphics is OK from my view, apple could have given better graphics like the radeon vega 8 graphics or Intel Iris Plus or Pro for a laptop that is so expensive! Everything else is Great! And MacOS is not that hard, i easily use both my Lenovo Gaming PC and my apple macbook air easily! Go for it if you are in the criteria I explained above! For hard-core video editing I would recommend atleast an iMac 4k or MacBook Pro Base Model because of its cooling Fan structure, Better Graphics and CPU! This Air is enough to edit 4k60fps videos but will slow down a bit in 5k60fps! While exporting the 4k60fps video the CPU and GPU went up to 104 degrees, this is the reason i am going to apple support! Thank You if you read the whole review because I spent a lot of time writing this!
            "
1.0 out of 5 stars,"In 3 Days of Use The Laptop stopped working and not powering on.
            "
1.0 out of 5 stars,"It worked only for a year. A year + 1 day it stopped working and apple has the worst customer service.No solutions
            "
5.0 out of 5 stars,"I purchased this for my mother, she is a prolific writer / poet and spends a ton of time on computers these days as a result. She has had fairly bad experiences with build quality, frequent hardware issues with other brands in the past and so wanted a good sturdy sleak laptop, this was a perfect  fit for her, especially now that the price was reasonably low and discounted, it was a no-brainer.
            "
3.0 out of 5 stars,"I wanted to purchase the product in no cost EMI as what was displayed, but due to amazon internal error I had to purchase it on one go, so bit unsatisfied with amazon. Rest the product was good.
            "
1.0 out of 5 stars,"My experience was little bitter in a sense that for my Mac, USB port is not working. Took my newly bought Mac to Apple Service centre. they have checked and come up with comment ""USB port is not working"". However I believe they might have tried all possible option of software upgrade, iTunes upgrade etc, cable shuffle to work out but nothing works well. so Returning this machine and looking after replacing it with correct one.
            "
5.0 out of 5 stars,"I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:Air demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience
            "
1.0 out of 5 stars,"I bought MacBook air in 2017, it was working fine till last month. It suddenly stopped charging I took it apple care and was shocked to hear the feedback. They told me that the motherboard is dead and i have to buy a new motherboard. The cost was 50k ( i bought at 53k in 2017). We buy Apple products because they are meant to be long-lasting. I am really disappointed and would prefer other companies next time. They earn extra money from selling an extended warranty.
            "
5.0 out of 5 stars,"Always apple is the best product.build quality and software works together.u can’t use this one for media purposes.its one time investment for office use.
            "
1.0 out of 5 stars,"I bought it last year from Amazon during Sale. It worked well for on year and then suddenly stopped working. I am unable to switch it on. I took it to service centre and they told that the logic board has to be replaced. The cost is around 45000. I am helpless. I dont want to invest more into that. I used the laptop very carefully but I think Amazon sent a defected piece on sale.
            "
1.0 out of 5 stars,"Was shocked to received a defective Apple MacBook. The device was not booting. Amazon was prompt in sending service Engineer, who certified the item defective. This item was replaced with a brand new MacBook as per Amazon policy. However to my dismay, this new MacBook also had a similar defect, which was again certified by the service Engineer. Apple is the world leader in laptops, and what amazes me is the 'QC' or the lack of it.Finally I had to request Amazon to refund the amount, which they did.
            "
2.0 out of 5 stars,"bought in oct 2018 and it broke down in 7 jan 2018 ..and tell you what ..afte spending that much money on worlds best considered brand you got your machine completly down not even powering on you must realise that money can not buy peace machine is machine after allpositives: 1. very portable 2. fast os 3. has wow factor 4. very good battery life 5. sturdy negetives: 1. average after sale customer service, it is now 15th day and my MBA is still with service centre and status repair going on 2. memory upgrade very costly 3. MS windows shifters will have tough time to adjust to new scheme of things 4. third party softwares will cost more than what they do in windows
            "
1.0 out of 5 stars,"charger not workingservice center not available to replace charger
            "
2.0 out of 5 stars,"Very handy laptop, light weight and portable. Mac OS is super cool. Battery backup was good. Defective product recieved,within 2 months of use, laptop gets switched off suddenly while on battery. Requires power input to restart again.Contacted service centre, they told its motherboard problem and replaced motherboard under warranty, but problem still persisting. Laptop still at service center. Earlier i was using toshiba laptop, satellite 340,lasted 8 yrs without any problem. Paid a premium for macbook air very dissapointed with apple quality of products. And to repair it outside warranty, parts cost as much as the laptop itself🙄
            "
1.0 out of 5 stars,"Writing the review after a two yr usage of macbook. Bought it because of very good experience with other apple product. But this was pathetic. Within a year of use the screen had vertical colorful lines. Luckily it was under warranty and got it mended.Exactly after another yr i faced the same issue and cost of repair is only 42k.Very disappointed and people shld be aware of this issue before purchasing.Would not recommend to anyone.
            "
3.0 out of 5 stars,"Everything about this product seems to be fine as of now. Got an option to upgrade to higher OS and install tools required for my work. Except for not so good sound quality while watching movies through itunes stores, other aspect seems to be fine. Higher storage options (256 GB) may be required for power users who may want to app development on this system. Current configuration suits light - medium heavy user(I belong to this category)- (need xcode debugging feature for my projects ).
            "
5.0 out of 5 stars,"I was looking for an affordable long lasting light laptop and my search led me to this. I know Apple has launch a new Air but this is still a good performer and with the recent price cut this laptop makes so much sense. I was using MacBook Pro for last 8 years, and after it retired this replaced the Pro and is not doing a bad job at it at all.
            "
5.0 out of 5 stars,"The MacBook is good in-terms of what it is designed for. The laptop is light weight so no hassle while carrying during travels. The backlit keyboard is a good advantage to work in low light. The performance is good, I use it for game development and I have not faced any problems until now. The transition from Windows to Mac was easy, not much of a hassle, initial few days, to understand the shortcut keys and how to operate will be little bit slow, post that it is just a breeze. Many applications are supported, no issue in bluetooth or USB connectivity or WIFI connectivity.
            "
1.0 out of 5 stars,"It did not run properly for even a week...it is on service centre from 20 days
            "
1.0 out of 5 stars,"We buy macbook's expecting that it will lasts at least 3 years, not in my case they are saying it will costs 46000rs to repair.. i bought this in 58000rs.. if i don't want to repair it still I've to pay 2500rs as diagnostic cost.. not recommended..
            "
5.0 out of 5 stars,"I got this for 52K during Amazon Sale. I can say that this is the best budget friendly Macbook ever.I have been a windows user for a very long time and always wanted to try a Mac because the whole world uses it. I used to be an Apple critic. But after using it for months, I can say that I am never going back to Windows again.The only thing Windows does better is gaming. Buy a Windows if you care about gaming. For everything else, Mac should be your preference. If you are looking forward to developing iOS or Mac apps, Mac is the only way.It is much more faster, responsive and sturdy than my Windows laptop. The OS never crashes and the performance is just flawless. Meanwhile my Windows laptop crashes very often ( Blue screen of death, Unwanted updates, driver incompatibility etc). I receive free OS updates every now and then and there has never been a compatibility issue.Apple - You just earned a new customer for life. Just make sure you don’t keep increasing the prices as it is the only con I can think of.TL;DR - If you want a laptop that is not going to irritate you every now and then and your budget is 50-60K. Wait for the sale and go for this Mac. But remember - This is not for gaming. For that, buy windows
            "
4.0 out of 5 stars,"well I have been using a windows laptop in the premium category for quiet some time.most of my time was spent dealing with driver issues with oem manufacturers, colossal problem with heating, os stutter in a 16 gb ram machine.i decide the pros and cons and again switched back to MacBook Air .1)the trackpad works like a dream.not like horrible windows with lag and stutter.multi gesture is a dream2) admittedly the display is not hd.but trust me much better than the much touted hd displays of horrific windows laptops I have used.in the same price range3)I am not a video editor but I am sure high end editing on 4k etc will be a challenge.but routine like image editing etc will be not an issue.if vfx pro etc is your daily grime look the Mac book pro4)routine work is a breeze..like..so cool the intuitive..experience...more so if you are in to the experience of apple ecosystem..airdrop etc...is very easy to comprehend5)the built quality and the battery is simply superb.here the low res display helps in easily 10-11 hours of usage.and 2 weeks of standby6)it is lighter and slimmer even than the new MacBook Air.7)no other MacBook has the glowing apple logo if it means much to you.maybe a collectible later:-)8)daily tasks are a breeze..however high end gaming will take a hit..tip:try and go for the extended warranty...at an apple store/apple protection plan
            "
1.0 out of 5 stars,"Do not go after brand. You can get pretty good configuration in this price. My MacBook is dead after 1 year when I kept it in cupboard for 2 weeks without use. Don't know how much I have to spend now ..
            "
5.0 out of 5 stars,"Don't want to mention anything for apple MAC book :)Super product
            "
1.0 out of 5 stars,"For a full year until the warranty was valid, this MacBook Air worked like a charm. Then it died. No response to power button. No internal mechanical movement. The laptop is just dead. I gave it for repair at an Apple authorized service center and they told me it was a failed Power Section and IC. I paid Rs. 13,300 for replacement and service charge of these parts only for the laptop to run fine for a couple of days and then die out in th same way. The dealer says I would have to pay the same amount to get the parts replaced again with no guarantees that the issue won't turn up again. Never trusting an Apple product again. For such a rich money hogging brand, they offer the shoddiest quality of service and products ever.
            "
1.0 out of 5 stars,"I purchased this product in February 2018 from Amazon. The power button started giving problems in end-May 2019. The computer just would not startup. I scanned the Net for such problems.  A lot of work arounds: push the Start button+ shift button etc. This worked for a few days. Then such work around too stopped working at all - the computed refused to start-up once shut down. Surprisingly, I ran the computer diagnostics on the Macbook, and the diagnostics program could not find any defect! I was surprised that even if the program could not find a defect on the computer, yet the computer once shut down would not start up.Secondly, finding a  Macbook authorised service center too is an onerous task in India. The Service center informed me that there is a problem with the mother board. And it needs to be replaced. Wow! Next time I would stick to my windows notebook, would never purchase a Macbook again!
            "
1.0 out of 5 stars,"I bought it last year from Amazon during Sale. It  suddenly stopped working twice in span of 1.5 yrs. I am unable to switch it on. After three months of purchase, I took it to service centre and they told that the logic board has to be replaced. The cost is around 45000. Luckily it was in the warranty. Now again after a eight month of replacement, it's dead again. I am helpless. I dont want to invest more into that. I used the laptop very carefully but I think Amazon sent a defected piece on sale.
            "
3.0 out of 5 stars,"Good Performance. Though it heats up often despite all Software Updates.
            "
2.0 out of 5 stars,"this laptop stop working after one year
            "
5.0 out of 5 stars,"Just love this piece! I owned a MacBook Pro before... But apart from the retina screen.. i don't miss anything else.... Just an awesome day to day performer... Open the lid n its ready to go... Amazing battery life (I've stretched it beyond 10hrs without wifi)
            "
3.0 out of 5 stars,"This review will be helpful for developers out here.1. Speed - Good2. Memory - You can opt for external HD3. Using Xcode and Android Studio at the same time - Still works well :)Everything is great with this machine except weird screen coming up on wake up and yes MEMORY :(
            "
1.0 out of 5 stars,"I brought this mac air on sep 2017. From past 1 week I am not able to turn on my mac, went to apple store and after troubleshooting they said it is having motherboard problem and need to replace which cost 50k, I was shocked and said how come in less than 2 year mac will have this issue. So kindly please beawre on this big bug mac air.
            "
1.0 out of 5 stars,"The product was dead in just one and half years. Apple service is great experience but they charged Rs 2600 for checking the machine and asked another fifty-five thousand rupees for replacing the battery and board which was found to have ""issues"". Now the MacBook is with my kids😬
            "
4.0 out of 5 stars,"Nice laptop. Had got it for ₹44000/- just for the laptop without exchanging any old ones. Feels a little outdated now but still ok if available for around ₹44k else go for any other laptop. Display is a let down & the bezels are really boring to look at. It's an old processor but decent for normal day to day use.
            "
1.0 out of 5 stars,"I did not do any heavy work on this apple MacBook air. I was doing mostly documentation. The system started having problem within the warranty period, the battery was draining fast. Also, after one year and three months, the MLB needs to be replaced which cost around INR 48700. So if you  have not bought the extended warranty it's just too bad. Overall a bad bad product.
            "
5.0 out of 5 stars,"I have used windows laptop all my life but this one completely took me by surprise. Very sleek in design, lightweight and super fast. Installing office 365 was so easy.. Plus thanks to the Amazon sale I got it for 53.. So I am pretty happy with the product.
            "
5.0 out of 5 stars,"I got this in sale for 49500 INR.Its awesome for students
            "
1.0 out of 5 stars,"Just after 6 months this MAC suddenly switched off and now i have to visit service centre to repair it.No reliablity at all.Wouldn't recommended.
            "
4.0 out of 5 stars,"I use this for music production and it works awesome..however the display is not so good as it should have been in a 63k laptop
            "
1.0 out of 5 stars,"Bought this product recently on 5 April, was working perfectly fine for few days and on 16 April the Mac working charge or turn on. Apple service centre says they can’t fix the product under warranty and amazon in try to come up with a solution ever since , no solid answer . I m stuck with a dead mac after using it for 10days. Request seller , Amazon or apple to take full responsibility.
            "
1.0 out of 5 stars,"Hi, Think thousand time before buying. One calm night i was cuddling in jaipuri blanket while enjoying youtube on this expensive machine. Cold night and little excitement created electrostatic charge which spike though spaceBar button. that's how it went to deep sleep forever. Nothing can bring it back and i am in no mood in spending another fortune on this machine. Apple, of you (i)care, this is the least of security feature included in all electronic devices. And the best part, it was a week after Warranty expiration date.
            "
2.0 out of 5 stars,"Bought it on 9th July, stopped working / not turning power on by 4th Nov. Adding to this disappointment is - Apple's refusal to repair it under warranty stating that there is corrosion in Logic Board. Amazon also did not help. The seller - Appario - does not like to be bothered with it. Sometimes I wonder if buying electronics online is a good idea!
            "
5.0 out of 5 stars,"excellent product with good exchange price... I like product and service
            "
4.0 out of 5 stars,"Thanks to amazon for superb timeliness and hassle-free delivery. Original item received. Properly packed for safety and kudos to the exchange offer i got it in somewhat lesser price. Still there are a few things or two like the caps lock key is being non responsive sometimes which might not be amazon's fault but still..its amazon who is in between. Overall the product is good. I'm fully satisfied with the performance and battery life. It actually gives upto 12 hours of battery life while you do small modular works.
            "
5.0 out of 5 stars,"The sheer fluidic response on this machine is simply awesome. Totally worth every penny.Even though I use Windows in my office for programming but this machine is a beast when it comes to performance. Zero lag, super fast reboot. Got it at a good deal for 47k.
            "
1.0 out of 5 stars,"Never purchase any Apple products. I bought 3 and start giving problems just after 6 months. I need to visit 4 times service station which is far 12 km. Again MacBook start acting dead after 6 more months. Mean a top priced laptop giving problems in every 6 months.I have good experiences with other brands of laptops. I hope this comment can help to save somebody’s money.
            "
5.0 out of 5 stars,"All are Gud.. For now..
            "
5.0 out of 5 stars," There is nothing to dislike about this machine. I'm sold by her looks, sleek and grace. It is not user friendly specially because i've had my hands on the black laptops forever but i'm getting around. I purchased Apple MacBook last year in December and it's been a pretty awesome experience. I love the MacOS applications. The keyboard is a delight to work in the dark. I have no issues with the sound quality! As a single user machine ,she never disappoints. Battery life is as mentioned. But to be very honest , I bought this machine because it adds to my collection of awesome gadgets. And I bought it because I could, I am so grateful! I love Apple products. They make for good show off, they look unique and stand out. This machine has been one of my best investments and technology acquired. So proud of her.
            "
1.0 out of 5 stars,"Bought this MacBook for 51K in 2018 and 2 weeks back my laptop stopped working without the adaptor even at 100% I went to the Apple Store and they informed me that the logic board had corrosion and it would cost me 42K to get it replaced. Just after my warranty of a year expired, this issue came up. Highly not recommended. This was a defective piece and very conveniently Amazon/Apple sold a product that would last more than a year (the warranty) time just to have customers pay almost just as much to fix the laptop. I was major fan of Apple and its products but now I am really disheartened. I hate what happened. Cannot spend a dime on any Apple product ever again. PLEASE read this review before buying the product. Amazon/Apple PLEASE SELL BETTER PRODUCTS AND DO NOT PLAY WITH CUSTOMERS AND THEIR MONEY
            "
5.0 out of 5 stars,"THIS IS SOMETHING I WAITED FOR YEARS , FINALLY I GOT THIS WITH A DECENT PRICE AROUND 55K.I CANT WRITE HERE A LOT BECAUSE FEELING OF USING A MAC AND HIGH SIERRA OS IS AMAZINGBUILD QUALITY IS STRONG AND PREMIUMONLY LITTLE DISAPPOINTMENT IS SCREEN RESOLUTION GRAPHICS.OVERALL A DECENT AND CLASSY PRODUCT
            "
5.0 out of 5 stars,"After using windows laptops from almost 6 years I bought this machine. Initially it was hard to get used to the MacBook OS and it's features but trust me, after using it for a week you'll fall in love with MacBook.Pros:1. Sound Quality is really clear and good.2. Battery life is amazing, I use it daily for almost 2-4 hrs and I charge it only once in 2-3 days.3. Finger gestures are amazing.4. Speed ❤️. No lags whatsoever.Cons:1. Apple should have updated the 2017 MacBook with Retina display, although this display is works perfectly fine.2. To use some applications, you've to buy them. Can not use cracked version unlike windows.If you're looking for a laptop (non-gaming) within 50-60k budget which you want to use it for long term, buy this one.
            "
1.0 out of 5 stars,"So after a year of using it, unfortunately the smc chip and memory synchronisation is at fault. There is no manual resetting that works and the only option is to get the chips replaced which costs around 19k. So much for long lasting. Though I must say it worked like a pro for 1 year and now its time to bury it.
            "
5.0 out of 5 stars,"MERITS..IT IS BEST IN ITS PERFORMANCE..SOUND QUALITY IS AMAZING..NICE PICTURE QUALITY...GREAT STABILIZATION..BEST UI(USER INTERFACE)..BEST LAPTOP FOR NORMAL HUMANS🤣 >50KDEMERITSCANNOT BE USED FOR GAMINGbut If You areNot a Productive person Then only You Play games..And...THERE's nothing much bad about
            "
5.0 out of 5 stars,"3 years and still running! great product
            "
5.0 out of 5 stars,"I got a great deal on this laptop, which I have been using for almost a year now. I got it not only on discount but also was able to exchange my old laptop with this! Laptop works really well, it was a good purchase!
            "
1.0 out of 5 stars,"Given 1 only for the fact that in description it's mentioned that it's having Touch Id which is not there at all in this, so please correct the description and verify rest of facts also
            "
